灣灣,#genre#
民视,,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
东森超视,rtmp://f13h.mine.nu/sat/tv331
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELTA体育3,rtmp://9hv9.mine.nu/sat/md011
ELTA体育4,rtmp://9hv9.mine.nu/sat/md021
DAZN体育1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育2,rtmp://f13h.mine.nu/sat/tv741
DW,http://61.221.215.25:8800/hls/1/index.m3u8
大爱一台https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二台https://pulltv2.wanfudaluye.com/live/tv2.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
NHK WORLD,http://61.221.215.25:8800/hls/51/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
緯來體育,http://125.227.210.55:8155/VideoInput/play.ts
三立台灣,http://125.227.210.55:8160/VideoInput/play.ts
Bloomberg,http://125.227.210.55:8161/VideoInput/play.ts
CN卡通,http://125.227.210.55:8167/VideoInput/play.ts
TVBS新聞,http://125.227.210.55:8186/VideoInput/play.ts
食尚玩家,http://125.227.210.55:8187/VideoInput/play.ts
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts
BBC new,http://125.227.210.55:8165/VideoInput/play.ts
CNN new,http://125.227.210.55:8166/VideoInput/play.ts
埋堆堆,#genre#
埋堆堆1,https://www.goodiptv.club/huya/23749096
埋堆堆2,https://www.goodiptv.club/huya/23735126
埋堆堆3,https://www.goodiptv.club/huya/23865152
埋堆堆4,https://www.goodiptv.club/huya/23903196
埋堆堆5,https://www.goodiptv.club/huya/23740156
埋堆堆6,https://www.goodiptv.club/huya/23728660
埋堆堆7,https://www.goodiptv.club/huya/23735153
埋堆堆8,https://www.goodiptv.club/huya/23865058
埋堆堆9,https://www.goodiptv.club/huya/23734183
埋堆堆10,https://www.goodiptv.club/huya/23749068
埋堆堆11,https://www.goodiptv.club/huya/23865036
埋堆堆12,https://www.goodiptv.club/huya/23740162
埋堆堆13,https://www.goodiptv.club/huya/23829474
埋堆堆14,https://www.goodiptv.club/huya/23863833
埋堆堆15,https://www.goodiptv.club/huya/23903106
埋堆堆16,https://www.goodiptv.club/huya/23865025
埋堆堆17,https://www.goodiptv.club/huya/23728689
埋堆堆18,https://www.goodiptv.club/huya/23824171
埋堆堆19,https://www.goodiptv.club/huya/23860057
埋堆堆20,https://www.goodiptv.club/huya/23865072
埋堆堆21,https://www.goodiptv.club/huya/23734176
埋堆堆22,https://www.goodiptv.club/huya/23728651
埋堆堆23,https://www.goodiptv.club/huya/23734246
埋堆堆24,https://www.goodiptv.club/huya/23865179
埋堆堆25,https://www.goodiptv.club/huya/23734196
埋堆堆26,https://www.goodiptv.club/huya/23734211
埋堆堆27,https://www.goodiptv.club/huya/23865086
埋堆堆28,https://www.goodiptv.club/huya/23863796
埋堆堆29,https://www.goodiptv.club/huya/23863822
埋堆堆30,https://www.goodiptv.club/huya/23749083
埋堆堆31,https://www.goodiptv.club/huya/23734243
埋堆堆32,https://www.goodiptv.club/huya/23864480
埋堆堆33,https://www.goodiptv.club/huya/23746486
埋堆堆34,https://www.goodiptv.club/huya/23860049
埋堆堆35,https://www.goodiptv.club/huya/23749074
埋堆堆36,https://www.goodiptv.club/huya/23863882
埋堆堆37,https://www.goodiptv.club/huya/23863778
埋堆堆38,https://www.goodiptv.club/huya/23824164
埋堆堆39,https://www.goodiptv.club/huya/23829537
埋堆堆40,https://www.goodiptv.club/huya/23863809
埋堆堆41,https://www.goodiptv.club/huya/23865096
埋堆堆42,https://www.goodiptv.club/huya/23863804
埋堆堆43,https://www.goodiptv.club/huya/23728630
埋堆堆44,https://www.goodiptv.club/huya/23863895
埋堆堆45,https://www.goodiptv.club/huya/23863787
埋堆堆46,https://www.goodiptv.club/huya/23728637
埋堆堆47,https://www.goodiptv.club/huya/23865142
埋堆堆48,https://www.goodiptv.club/huya/23903085
埋堆堆49,https://www.goodiptv.club/huya/23903183
埋堆堆50,https://www.goodiptv.club/huya/23728647
埋堆堆51,https://www.goodiptv.club/huya/23746691
埋堆堆52,https://www.goodiptv.club/huya/23829447
埋堆堆53,https://www.goodiptv.club/huya/23728693
埋堆堆54,https://www.goodiptv.club/huya/23903130
埋堆堆55,https://www.goodiptv.club/huya/23734223
埋堆堆56,https://www.goodiptv.club/huya/23734169
埋堆堆57,https://www.goodiptv.club/huya/23865124
埋堆堆58,https://www.goodiptv.club/huya/23865186
埋堆堆59,https://www.goodiptv.club/huya/23902225
埋堆堆60,https://www.goodiptv.club/huya/23903164
埋堆堆61,https://www.goodiptv.club/huya/23728674

虎牙轮播,#genre#
电影_星爷,http://cfss.cc/cdn/hy/11342412.flv
电影_英叔,http://cfss.cc/cdn/hy/11342421.flv
电影_发哥,http://cfss.cc/cdn/hy/11342387.flv
电影_成龙,http://cfss.cc/cdn/hy/11342386.flv
电影_王晶,http://cfss.cc/cdn/hy/11602058.flv
电影_沈腾,http://cfss.cc/cdn/hy/11601968.flv
电影_黄渤,http://cfss.cc/cdn/hy/11352876.flv
电影_强森,http://cfss.cc/cdn/hy/21059581.flv
电影_漫威,http://cfss.cc/cdn/hy/11602034.flv
电影_宇宙,http://cfss.cc/cdn/hy/11342428.flv
电影_怪兽,http://cfss.cc/cdn/hy/21059577.flv
电影_武侠,http://cfss.cc/cdn/hy/11342427.flv
电影_警匪,http://cfss.cc/cdn/hy/11352886.flv
电影_罪犯,http://cfss.cc/cdn/hy/11352962.flv
电影_枪战,http://cfss.cc/cdn/hy/21059579.flv
电影_赛车,http://cfss.cc/cdn/hy/11279247.flv
电影_推荐,http://cfss.cc/cdn/hy/11602041.flv
电影_热血,http://cfss.cc/cdn/hy/11352934.flv
电影_盗墓,http://cfss.cc/cdn/hy/21059552.flv
电影_贺岁,http://cfss.cc/cdn/hy/11601971.flv
电影_玄幻,http://cfss.cc/cdn/hy/11342414.flv
电影_谍战,http://cfss.cc/cdn/hy/21059585.flv
电影_喜剧,http://cfss.cc/cdn/hy/11352877.flv
电影_港片,http://cfss.cc/cdn/hy/11602043.flv
